1000,S;Empty
2000,S;Empty
3000,S;Empty
4000,S;Empty
5000,S;Empty
6000,S;Empty
7000,S;Empty
8000,S;Empty
9000,S;Empty
10000,S;Empty
11000,S;Empty
12000,S;Empty
13000,S;Empty
14000,S;Empty
15000,S;Empty
16000,S;Empty
17000,S;Empty
18000,S;Empty
19000,S;Empty
20000,S;Empty
21000,S;Empty
22000,S;Empty
23000,S;Empty
24000,S;Empty
25000,S;Empty
26000,S;Empty
27000,S;Empty
28000,S;Empty
29000,S;Empty
30000,S;Empty
31000,S;Empty
32000,S;Empty
33000,S;Empty
34000,S;Empty
35000,S;Empty
36000,S;Empty
37000,S;Empty
38000,S;Empty
39000,S;Empty
40000,S;Empty
41000,S;Empty
42000,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Right;4;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3
43000,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Right;4;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3
44000,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Right;4;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3
45000,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Right;4;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3
46000,S;For_S;S;S_S;S;S_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Right;4;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3
47000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;50;S;S_S;S;C;Harvest;8;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;MoveToUnit;Enemy;Closest
48000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;50;S;S_S;S;C;Harvest;8;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;MoveToUnit;Enemy;Closest
49000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;50;S;S_S;S;C;Harvest;8;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;MoveToUnit;Enemy;Closest
50000,S;For_S;S;S_S;S;S_S;S;C;Train;Worker;Left;50;S;S_S;S;C;Harvest;8;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;3;S;For_S;S;C;MoveToUnit;Enemy;Closest
