1000,S;Empty
2000,S;Empty
3000,S;Empty
4000,S;Empty
5000,S;Empty
6000,S;Empty
7000,S;Empty
8000,S;Empty
9000,S;Empty
10000,S;Empty
11000,S;Empty
12000,S;Empty
13000,S;Empty
14000,S;Empty
15000,S;Empty
16000,S;Empty
17000,S;Empty
18000,S;Empty
19000,S;Empty
20000,S;Empty
21000,S;Empty
22000,S;Empty
23000,S;Empty
24000,S;Empty
25000,S;Empty
26000,S;Empty
27000,S;S_S;S;For_S;S;C;Train;Worker;Up;6;S;S_S;S;For_S;S;C;Build;Base;Right;10;S;For_S;S;S_S;S;C;Idle;S;C;Harvest;20
28000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;6;S;For_S;S;C;Idle;S;S_S;S;For_S;S;For_S;S;C;Harvest;15;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
29000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;6;S;For_S;S;C;Idle;S;S_S;S;For_S;S;For_S;S;C;Harvest;15;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
30000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;6;S;For_S;S;C;Idle;S;S_S;S;For_S;S;For_S;S;C;Harvest;15;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
31000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;6;S;For_S;S;C;Idle;S;S_S;S;For_S;S;For_S;S;C;Harvest;15;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
32000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
33000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
34000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
35000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
36000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
37000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
38000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
39000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
40000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
41000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
42000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
43000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
44000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
45000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
46000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
47000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
48000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
49000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
50000,S;S_S;S;S_S;S;S_S;S;For_S;S;C;MoveToUnit;Enemy;LessHealthy;S;For_S;S;C;Train;Worker;Up;5;S;For_S;S;C;Idle;S;S_S;S;For_S;S;C;Harvest;50;S;For_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;C;MoveAway;S;Empty
